run,species,density,location_m,status_def,time_elapse_min,hei_cm,leaf_num,dia_mm,root_length_cm,above_g,below_g,sed_diff_cm
10,cottonwood,dense,18.3,rm,,25,3,1.1,8,,,
10,cottonwood,dense,18.3,rm,,18,5,4,15,,,
10,cottonwood,dense,18.3,dl,,17,1,2,10,,,
10,cottonwood,dense,18.3,rm,,27,16,3.9,26,,,
10,cottonwood,dense,18.3,rm,,12,22,2,26,,,
10,cottonwood,dense,18.3,rm,,26,16,3,22,,,
10,cottonwood,dense,18.3,rm,,24,3,2.3,7.5,,,
10,cottonwood,dense,18.3,rm,,23,54,3.6,35,,,
10,cottonwood,dense,18.65,dl,,15,8,2.5,16,,,
10,cottonwood,dense,18.65,rm,,16,8,2.1,24,,,
10,cottonwood,dense,18.65,rm,,27,51,3.8,34,,,
10,cottonwood,dense,18.65,rm,,15.5,42,1.6,30,,,
10,cottonwood,dense,18.65,rm,,21,21,2.9,27,,,
10,cottonwood,dense,18.65,rm,,21,87,4.7,42,,,
10,cottonwood,dense,18.65,rm,,19,11,2.3,26,,,
10,cottonwood,dense,18.65,rm,,25,53,2.7,32,,,
10,cottonwood,dense,18.65,rm,,26,21,2.2,23,,,
10,cottonwood,dense,18.95,rm,,18,4,2.7,26,,,
10,cottonwood,dense,18.95,rm,,18,8,2.3,9.5,,,
10,cottonwood,dense,18.95,rm,,12.5,7,2.6,24,,,
10,cottonwood,dense,18.95,rm,,7,1,2.1,27,,,
10,cottonwood,dense,18.95,rm,,7.5,12,1.3,24,,,
10,cottonwood,dense,18.95,dl,,18,11,2.32,5,,,
10,cottonwood,dense,18.95,rm,,10,12,1.3,24,,,
10,cottonwood,dense,18.95,rm,,26,29,1.8,17,,,
10,cottonwood,dense,18.95,rm,,33,35,3.4,37,,,
10,cottonwood,dense,18.95,rm,,21,5,4.3,18,,,
