run,species,density,location_m,status_def,time_elapse_min,hei_cm,leaf_num,dia_mm,root_length_cm,above_g,below_g,sed_diff
6,cottonwood,sparse,16.15,dl,46,9.5,29,1.98,28.5,0.47,0.29,6.058123
6,cottonwood,sparse,16.15,dl,46,13,41,2.08,36,0.75,0.41,6.058123
6,cottonwood,sparse,16.15,dl,43,15,17,2.7,9.5,0.24,0.08,15.395558
6,cottonwood,sparse,16.4,dl,40,22,70,3,13,0.68,0.35,5.907812
6,cottonwood,sparse,16.4,dl,40,17,43,2.7,15,0.25,0.4,5.907812
6,cottonwood,sparse,16.4,dl,48,30.5,35,2.5,27,0.67,0.33,5.290617
6,cottonwood,sparse,16.4,dl,94,37,50,3.7,37,1.51,0.76,15.135781
6,cottonwood,sparse,16.8,dl,117,34,56,3.88,47,1.72,0.86,17.280759
6,cottonwood,sparse,16.8,dl,60,22,11,2,17,0.4,0.2,13.32737
6,cottonwood,sparse,16.8,dl,63,18,10,1.6,25.5,0.27,0.2,12.105848
6,cottonwood,sparse,16.8,dl,50,11,3,1.1,13,0.12,0.23,7.757677
6,cottonwood,sparse,17.05,dl,55,19.5,35,2.94,17.5,0.63,0.54,5.454269
6,cottonwood,sparse,17.05,dl,76,15.5,16,1.94,5,0.21,0.07,7.171195
6,cottonwood,sparse,17.05,dl,,19.5,30,2.35,26,0.55,0.43,16.97398
6,cottonwood,sparse,17.35,dl,52,23,98,3.46,35,1.84,1.62,6.485987
6,cottonwood,sparse,17.35,rm,,25,89,4.06,31,1.64,0.94,16.335707
6,cottonwood,sparse,17.35,dl,87,9.5,8,2.25,7.5,0.11,0.13,8.796805
6,cottonwood,sparse,17.7,dl,80,14.5,52,2.7,45,1.32,0.55,14.703545
6,cottonwood,sparse,17.7,dl,135,25,24,2.2,18,0.44,0.31,12.240883
6,cottonwood,sparse,17.7,dl,112,13,9,2.1,21,0.2,0.22,11.818895
6,cottonwood,sparse,18,dl,47,12,22,1.92,23,0.27,0.2,6.159494
6,cottonwood,sparse,18,dl,40,21,14,4.48,10.5,0.76,0.16,3.101741
6,cottonwood,sparse,18,rm,,20,37,3.3,28,0.67,0.43,16.69284
6,cottonwood,sparse,18.3,rm,,36.5,78,2.38,43,0.73,0.45,13.432328
6,cottonwood,sparse,18.3,rm,,25,66,4.14,37,1.96,0.87,13.432328
6,cottonwood,sparse,18.3,rm,,27,33,2.02,31,0.55,0.31,13.432328
6,cottonwood,sparse,18.3,dl,,14,4,2.7,9.5,0.22,0.1,13.432328
6,cottonwood,sparse,18.65,dl,44,9.5,33,2.2,16.5,0.29,0.23,10.151118
6,cottonwood,sparse,18.65,dl,87,11,31,2,16,0.26,0.17,12.022707
6,cottonwood,sparse,18.65,rm,,28.5,84,3.95,38,2.41,1.39,14.554202
6,cottonwood,sparse,18.65,rm,,26,63,2.56,41,1.31,0.72,14.554202
6,cottonwood,sparse,18.95,dl,60,33,65,6.38,50,2.6,2.06,9.420906
6,cottonwood,sparse,18.95,rm,,21.5,59,2.32,34,0.68,0.32,16.483085
6,cottonwood,sparse,18.95,rm,,19,31,2.26,25,0.44,0.17,16.483085
6,cottonwood,sparse,18.95,rm,,18.5,25,1.92,22,0.36,0.09,16.483085
6,cottonwood,sparse,19.3,br,,25,74,4,33,1.79,0.72,12.344556
6,cottonwood,sparse,19.55,rm,,23,72,5.2,37,1.21,0.37,12.982533
6,cottonwood,sparse,19.55,rm,,20,85,3.2,39,1.57,0.97,12.982533
